cues,result,compare
makan hati,29300,28600
makan session,14800,15000
makan shit,38,42
makan snake,150,150
makan suap,2510,5510
makan taik,4070,4180
makcik,342000,397000
makcik add,3,3
makcikfied,2,2
make noise,417000,417000
make prata,1550,2700
make way,831000,825000
making money,2140000,7470000
maknyah,22200,20200
maksiat,263000,261000
makwa,82900,86100
malas,4740000,2700000
malas nak layan,22400,16600
malay costume,10100,43600
malay cuisine,68800,81400
malay shaman,2820,2440
malaysia asal boleh,10,9
maling shit,48,48
malingsia,15900,15800
malty flavor,8110,7970
malu,3840000,3310000
mamak,480000,482000
mamak shop,8270,19300
mamat,285000,240000
mambo,3100000,1950000
mamee,116000,119000
mamee monster,19800,21200
mami jarum,5550,5540
mampat,57400,56300
mampoi,3460,3480
mampus,249000,253000
mana ada masa,49200,33100
mana eh sai,290,290
mana got masa,13100000,9070000
mana nak ajak,14200,14200
mana ooh eng,8,8
manage prostitute,140,140
mandai,1070000,1070000
mandi cowboy,414,410
mangali,88400,89800
mangkuk,373000,924000
manja,1290000,1250000
mannangkatti,186,206
mantao,23000,25400
mantat,12700,13000
manyak,429000,437000
map drawing,26700,93100
marah,1400000,1450000
marble cake,84500,79500
mark attendance,10100,5340
masai,1140000,1610000
masak masak,67900,65700
masala chai,99300,90700
masam manis,203000,170000
maseelis,8,8
mashallah,366000,364000
mass order,446000,436000
masuk baris,1060,528
mat,71000000,56600000
mat roker,230,231
mat bunga,7270,8980
mat emo,10700,10700
mat jiwa,1280,1760
mat kahwin kahwin,21,20
mat kental,646,506
mat motor,35500,35800
mat rempit,89000,90500
mat rep,1600,1670
mat rock,36800,36200
mat salleh,273000,78500
mat smart,42000,42000
mat taper,54,54
mata,27300000,19600000
mata duitan,82200,18500
mata keroh,4,4
mata kuching,14400,14400
mata lembu,6860,7410
mata mata,350000,138000
mata potek,73,54
match fixing,350000,355000
matcha,6300000,5180000
mati,8410000,8090000
maximum power,723000,719000
mc,107000000,90800000
mc king,75400,73700
mc queen,209000,206000
mcjiji,62,62
mcjiji food,334,748
mckkj,205,194
mediacorp,4530000,4410000
medical certificate,627000,627000
mee hoon,157000,159000
mei ban fa,812,813
mei jia jiao,249,248
mei liang xin,1340,1340
mei mei,172000,152000
mei nu,30500,29900
mei you yong,2320,2320
melampau,236000,224000
melebih,57200,58300
melebih lebih,3640,4140
melepas,447000,421000
meluat,31000,30100
membabi buta,35400,35700
membuta,22900,21300
memekak,13600,13300
memorize blindly,47,47
mempersiasuikan,2710,2610
men in white,3690000,3940000
mendak,31200,29400
meng kia long tio wu siah,4,4
mengada ngada,19900,20800
mengarut,55900,56200
mengumpat,56800,52800
mental hospital,180000,188000
mentel,238000,233000
menyampah,55700,57200
menyampuk,9560,14300
menyibuk,12000,12500
menyundal,3340,3350
menyusahkan orang,24700,27000
mepek,2880,3080
merajok,3000,2750
merajuk,122000,128000
merdeka generation,29700,25000
merengek,219000,214000
merengek rengek,4190,4290
merepek,60200,58800
meringue icing,3850,3860
merlion,4490000,4860000
merlion ppl,228,34600
mexico bun,1810,1780
mi mi,254000,254000
mian lui,108,55
miang,83600,104000
mianhae,11500,11600
mid-autumn festival,1050000,968000
military command,120000,338000
military design,262000,269000
military exercise,223000,216000
milo van milo,524,525
minah,595000,966000
minah bunga,1260,1330
minah emo,644,522
minah jiwa,8,23
minah kahwin kahwin,92,106
minah kental,57,57
minah motor,1850,1870
minah rempit,40500,53400
minah rep,314,289
minah rock,463,408
minah taper,83300,58100
mind your own business,146000,125000
mineral water,2760000,2880000
ming jiang kueh,667,586
mini packet,21800,22200
mini-packet,21500,21400
minor role,444000,468000
minyak,7830000,7470000
miskin,856000,711000
miss shooting target,13700000,14000000
miss the point,1180000,1160000
missed chance,35700,35600
missed opportunity,470000,468000
missed timing,655,655
missing tooth,47800,45700
miw,361000,359000
mix and match,5050000,5050000
mixed blood,164000,159000
mixed culture,62700,57900
mixed heritage,37700,97800
mixed vegetable,330000,338000
mixed vegetables,769000,900000
mklghlg,103,89
mkltws,5,5
mlmlwm,376,464
mm sam mm say,9,9
mm tzai si,47,57
mm zai,698,691
mna,481000,528000
mo,120000000,126000000
moh man tai,6,6
moh tau moh mei,1,1
moh tuck keng,2,2
moh tuck teng,81,83
moi,36200000,29100000
mommom eyeglass,237,237
mommom eyeglass chocolate,149,145
monetary gift,38900,61000
money crazy,251000,251000
money eyed,10600,9810
money face,269000,269000
money minded,29900,30400
money scam,75100,74400
mong cha cha,2420,2380
monkey see monkey do,99700,95600
monyet see monyet do,1,1
mooncake,543000,687000
mooncake festival,47600,56400
mootai,7720,7810
mor peng,117,117
more work,5480000,5330000
mosquitoes-infested,728,720
moulded cake,321,306
mountain tortoise,10200,10300
mounting anger,9800,9800
mouth got gold,1010,1010
mouth itchy,4360,4130
move aside,109000,108000
mu lao hu,228,228
muah chee,38100,30800
muddle-headed,77000,83700
muffadet,94,73
mug,29600000,22000000
mugger,421000,430000
mugger toad,116,117
muka blank,121,90
muka chee bye,1,1
muka crap,2,2
muka lan jiao,21200,19200
muka pecah,2860,2860
muka scrap,1,270000
muka stoink,4,3
muka stone,239,291
muka tebal,7300,5400
mulut berat,749,743
mulut besar,18400,13700
mulut buih,39,7
mulut chee bye,39800,37200
mulut itchy,214000,198000
mulut laser,3410,2400
mulut murai,4750,1880
mulut no insurance,1,1
mulut tempayan,3250,1660
mummy jarum,7,7
mundachi,431,420
mundam,7240,7010
mung bean flour,14700,14500
mungsat,178,139
municipal office,216000,217000
munjen,2420,2420
muntah blood,5,7
murah,29400000,33700000
murah hati,103000,106000
murah ppl,264,6
murah rezeki,128000,114000
muruku ikan,2070,3040
musibot,461,461
musibut,83,82
mutton rendang,16200,16500
my england not powderful,215,171
my foot,12400000,10100000
my one,11800000,10800000
myob,207000,281000
mythical creature,299000,97200
na beh,16700,16900
naataa,1370,1340
naayi,4550,4570
nabedous,2,2
nabeh,34600,33800
naggy,198000,192000
nah beh,2280,2270
naik angin,23700,14300
naik hantu,7590,7470
namaste,1040000,1330000
nangka busuk,1380,1370
nanny nanny boo boo,4570,4630
nanyang technological university,4760000,4420000
nao hiah,162,143
nasi goreng istimewa,11100,5880
nasi putih,278000,295000
nation builder,57100,178000
national service,1380000,1170000
national servicemen,91000,90700
navigation exercise,24500,5180
nbab,19100,19000
ncac,248000,248000
necroing,912,958
neh neh,32800,32600
neh neh ni boo boo,73,73
neh neh pok,1110,867
neighborhood game,17200,17500
nenek,1120000,980000
netizen,1090000,959000
never eat rice,7310,7380
never say early early,3,3
never see before is it,552,552
new bird,51700,69800
new rich,659000,421000
newbie,13600000,9570000
neyi,132000,118000
ngam ngam,22900,24300
ngeow,51300,57800
nhah,25300,25700
nhnt,5800,5590
ni hao,83400,82400
ni na beh,372,364
ni na bu,2890,8270
ni nao hiah,7,7
ni ni,283000,269000
nia,18400000,17300000
nia gong,143,138
nia gong de ji dan,6,6
niang niang qiang,157,150
night market,2370000,2120000
nine emperor gods,24200,24200
ninja van,367000,614000
nlal,11800,11900
nng ka peng,5,5
no horse run,9440,17800
no pakai,1420,1410
no sound no picture,7120,6910
no action talk only,10600,9930
no balls,399000,375000
no bodek,59,60
no brain,240000,241000
no choice,3540000,3120000
no excuse,1030000,1100000
no face,575000,580000
no filing,26900,30100
no fish prawn also can,551,562
no gahmen,321,282
no head no tail,5900,19000
no money,2230000,2370000
no money no honey nobody love me,10,10
no otak,1230,1230
no picture no talk,1500,1500
no shame,663000,765000
no speeyak,4,9
noob,2630000,2210000
nose-picking,127000,127000
not happy talk outside,328,328
not say i say what,75100,75100
not beng act beng,1,1
not chio act chio,4,4
not cool act cool,2,2
not cute act cute,2,2
not handsome act handsome,13100000,9550000
not hensem act hensem,14500000,13700000
not lian act lian,1310000,956000
not making,1120000,934000
not naise act naise,13200,43000000
not nice act nice,3,4
not pretty act pretty,3,3
not rich act rich,2,2
not serious,347000,331000
not shuai act shuai,306000,307000
not smart act smart,1,1
not tall act tall,1,1
nrar,31800,32300
nsas,54100,67500
ntat,56900,57800
nu qiang ren,234,233
nua,7850000,7120000
nvm,217000,624000
nyanyi sumbang,301,552
nyonya kebaya,17400,16800
ob marker,4430,4510
obasan,130000,125000
obiang,266000,271000
obvious answer,321000,321000
occifer,4280,4640
off,1290000000,788000000
off day,400000,387000
off beat cha cha,4080,4140
off duty,846000,872000
officer vetti,2,2
offshore island,33200,38700
often hang out,22000,20600
oh my tian,1720,1940
oi,40800000,39200000
okt,5790000,3980000
old bird,44900,163000
old generation,197000,202000
olden days,374000,376000
ombodhu,225,234
on,1470000000,1140000000
on lah,16800,15400
on charge,164000,388000
on guard,337000,313000
on off,35000000,30900000
on the ball,14400000,9250000
on the wrong ball,7210,7120
ondeh ondeh,122000,122000
one,916000000,900000000
one kind,489000,491000
one leg kick,6230,6490
one sided,2900000,2870000
one sided love,167000,175000
ong heng huat,847,1500
ong heng huat ah,5,5
ons,69200000,60900000
ooh ngya boh,8,41
ooh say,1210,1200
ooh ya boh,3,3
opeh,162000,157000
open one eye close one eye,295,265
oppa,596000,495000
oppies,23700,24300
opposition party,551000,570000
or che,43200,42300
or kwee keng,8,8
or kwee poh,142000,109000
or kwee tau,35,39
or sia hui,1050000,1080000
or-bi-good,1450,1540
orang cina bukan cina,1560,2030
orang putih,121000,116000
orange fruit,93600,94800
orange-coloured,144000,144000
orbi,736000,246000
orbi good,1600,1600
orbi quek,106,106
ord,9340000,7300000
orgas,799000,783000
orh,167000,179000
orh hor,1830,1860
orh pee sai,36,36
orh chee bye,2,1
orh gao,6020,5970
orh hoh,5,5
orh pee sai,36,36
otak crack,3,3
otak geliga,1490,1490
otak gila,2470,2470
otak kacang,201,204
otak kolot,301,279
otak kosong,3220,4910
otak kotor,8160,9220
otak lu,3050,3050
otak senget,312,295
otak sod,1,1
otak udang,11000,8120
otak yellow,9,9
otak you,1130,1130
otang,31200,30500
outfield training,1390,969
outside food,117000,234000
overseas chinese bukan china,285000,257000
overseas studies,62300,56800
ow bway kong,4,4
ow bway ooh kwee,5,5
owa peya som,8,7
owe money pay money,3890,3880
own time own target,24500,16200
ownself,111000,302000
ownself check ownself,9100,9300
pa jiao,1530,749
pack food,60900,170000
packet food,24300,23500
padan muka,59400,60100
paedo,185000,188000
paggro,1620,1640
pah buay see,2,2
pah buay toh,37,36
pah cheow bak,1,1
pah lan,474,475
pahala,756000,375000
pai,16300000,17000000
pai ang kong,26,33
pai char bo,464000,468000
pai cho,4460,4470
pai jiak,265,264
pai kah,129,130
pai kia,17800,9570
pai kwa,173,165
pai lang,4760,4830
pai miah,109,103
pai seh,15500,15300
pai sin,777,894
pai tau,30600,31600
pai than,1100,1240
pai thia,17700,15
pain,102000000,103000000
pak bang,9790,16100
pak chew cheng,214,210
pak kiu,2330,2320
pak puay kee,6,6
pak tor,6160,6000
pak zam,1010,1010
pakat,201000,191000
pakay,63400,61600
pakcik,298000,297000
pakcik add,1,1
paknyah,187,129
paktor,204000,204000
paktorlogy,1070,1180
pakwa,9860,9880
pala batu,655,655
pala botak,696,696
pala butoh,244,244
pala crack,114,114
pala otak bapak kau,2,2
pala otak kau,166,166
pala otak lu,6,6
pala otak mak kau,18700,18100
pala pening,174,185
pala pusing,4850,7780
palm leaf,338000,527000
panas,9720000,9710000
panas baran,18400,18400
panas hati,10700,10900
pancet,14500,13400
panchan,26400,26700
pandai,614000,877000
pandan leaf,136000,54700
pandey,28500000,27400000
pandi,202000,179000
pang chance,2010,2010
pang chui lao,9,38
pang chan,5540,15600
pang chiu,4930,4950
pang giu,48,49
pang jio,1420,1420
pang kang,7530,7400
pang kang liao,695,652
pang pooi,132,102
pang pui kee,3,3
pang sai,7930,7760
pang seh,1650,1700
pang seh king,6,6
pang seh queen,1,2
pang sim,2290,3300
pang zui lao,40900,41000
pangkeng,4850,4320
panjang tangan,130000,122000
panjang umur,164000,165000
pantang,535000,279000
pantat gatal,11100,11100
pantat itchy,3,3
pao niu,1730,1740
pao toh,1060,1070
pap internet bridgade,949,953
pap internet brigade,949,953
pap vampire,55,43
papa kedana,8670,7810
paper aeroplane,61300,59000
paper airplane,202000,460000
paper cone,54200,226000
paper general,92000,92000
parachi,150000,148000
paradesi,87700,86600
paraiyan,73600,74600
parking coupon,73800,72800
parking fee,246000,264000
party against people,10600,4720
party cube,21900,22800
partygoer,113000,114000
pasal,1760000,2060000
pasang,23500000,20800000
pasang telinga,6680,3580
pasar malam,436000,420000
pass motion,27900,21500
pass urine,163000,161000
patah hati,455000,94400
paternal uncle,62600,92200
patron saint,446000,452000
pattern chu kar liau,175000,149000
pattern more than badminton,4070,4040
pattern tzuay kuay badminton,53,53
pau,17000000,22600000
pau bak chang,5,5
pau chia,402,394
pau ka liao,172,185
pau ka liau,69,69
pau tau,726,808
pay and pay,519000,525000
pay up,602000,1120000
pcc,941000,1010000
pdmm,21900,21800
peanut brain,7510,7330
pearl-like,120000,125000
pecah,2340000,2680000
pecah lobang,2530,2080
pee thinnu,2,2
peidu mama,706,751
pek chek,6150,5910
pek tor he,143,143
pekak,122000,56000
pekak badak,3370,2180
pelahap,9850,9340
pelat,673000,642000
pelik,519000,496000
pemalas,150000,145000
penagih,133000,128000
penagih dadah,39700,39100
penakut,71800,72300
penalty fee,39900,44400
penang cuisine,10100,10100
penat,640000,625000
peng,26400000,26800000
peng mil,31,27
peng you,17600,17900
pengecut,82000,80700
pengsan,152000,166000
pening,689000,313000
pening kepala,99100,124000
penipu,818000,777000
penis retraction,697,725
penny pinching,281000,287000
people mountain people sea,8130,8180
peoples action party,15600,62000
pepek,974000,958000
pepero,52600,55900
perakus,591,625
peranakan,1920000,1530000
peranakan cuisine,67200,65000
perangai,316000,296000
perangai beruk,503,344
perangai buruk,5360,9540
perangai hantu,140,194
perangai pecah,10,32
perasan,415000,408000
perasan ah beng,10700,11000
perasan ah lian,21900,8
perasan baik,188,302
perasan beng,43100,45100
perasan besar,119,116
perasan big,10,7
perasan bijak,130,287
perasan busy,6,21
perasan cantik,1340,1960
perasan chio,11900,1630
perasan class,214000,60100
perasan classy,2,2
perasan clever,4,4
perasan comel,342,546
perasan cool,25,25
perasan cute,1340,1360
perasan fierce,24700,5710
perasan funny,85300,31600
perasan garang,2,2
perasan gerek,2,2
perasan good,9,9
perasan handsome,381,195
perasan hensem,4110,2450
perasan hot,306,661
perasan jamb,6640,4730
perasan jambu,65,46
perasan kaya,198,228
perasan ke lian,75800,104000
perasan kelakar,8,8
perasan kesian,32,10
perasan kiut,10,10
perasan lawa,522,935
perasan lian,4220000,6690
perasan lomantic,80300,164000
perasan macho,101,101
perasan marah,126,319
perasan mat,173,208
perasan mat salleh,151,158
perasan minah,38,50
perasan muda,792,792
perasan nice,4,3
perasan pandai,511,466
perasan pelat,1,1
perasan pretty,1680000,437000
perasan rich,1,1
perasan romantic,17800,25700
perasan sachok,213,107
perasan seksi,16,61
perasan sendiri,1030,1370
perasan sexy,6,7
perasan shuai,3080,3190
perasan slim,5,5
perasan smart,4,4
perasan strong,112000,40400
perasan sweet,2,6
perasan tall,35700,20500
perasan terror,4,7
perasan young,1,1
perbird,145,146
pergi mampoi,2,2
pergi mampus,6190,4530
pergi mati,5110,5290
perlis laksa,644,712
permanent residence,562000,691000
perng tang,10,10
perut kembung,55300,54300
petai,270000,228000
pew pew,325000,93400
peyi,782000,687000
pgo,1110000,655000
phewweet,5,5
photostat,288000,281000
phua chee bye,439,471
pi la,70800,74100
pi sai,3460,3460
pi sai country,51,37
pia,32200000,37900000
pia chui,230,209
piak,75000,75100
piak first talk later,119,6
piak piak,14700,7160
pian chiah,5860,5930
pian jiak,98,101
piang,96500,94600
pick up stick,236000,154000
pig ear biscuit,455,393
pigu,245000,246000
pijak,335000,334000
pijak kepala,6880,6880
pilu,355000,336000
pinkerton syndrome,47000,46900
pinkie lee,1800,1790
pintar,1340000,3450000
pioneer generation,48800,57000
pisaasu,4040,3740
pisang,2390000,2360000
pisang emas,40500,51300
pisang kelat,838,891
pisang keling,483,592
pisang kepok,20800,22000
pisang mas,25300,25600
pisang rajah,1140,1140
pisau cukur,98100,97500
plan fail,42000,42000
plaster mulut,29,75
plaster your mouth,3,3
plasterwork,158000,166000
play a fool,465000,648000
play catching,33300,33700
play cheat,97900,99600
play foul,24600,24200
play hard to get,2710000,2690000
play innocent,238000,238000
play play,1360000,1380000
play rough,482000,482000
play shirt,94100,94900
play tai chi,6730,7310
played out,1540000,1590000
please others,110000,110000
pleasure seeking,169000,168000
pledge loyalty,41800,38700
pls,50600000,26800000
plu,770000,979000
pocky,233000,192000
pocong,187000,172000
poda,1600000,1770000
podi,146000,163000
poh mata,1290,937
point finger,48100,50100
pok,1360000,1710000
pok kai,1580,1540
pok kai hum kar chan,6,6
polar snack,307,324
police and thief,274000,276000
politaik,17700,17900
polite address term,733,743
polite greeting,17200,16900
polite request,48600,47700
political discourse,263000,254000
political family,27200,27300
political party,2580000,2560000
politick,41900,41000
polo sweet,8420,21800
pon,18600000,13200000
pondan,83300,83600
ponding,218000,208000
pong kan,2580,2590
pongal,374000,434000
ponteng,130000,121000
pontianak,6120000,7810000
poo,8360000,9660000
poochandi,7190,6990
poon zui,5,5
pop corn durian,213,209
popiah,233000,259000
popiah goreng,6440,6430
popo fish muruku,882,882
popo muruku ikan,1420,1320
popz,147000,144000
por,139000000,127000000
por lan pa,85,85
posertive,453,465
potato wheel,2360,2990
potato wheel cracker,734,744
potong,3410000,3950000
potong ice cream,8250,8000
potong jalan,4120,4130
potong queue,2340,3720
potong steam,1440,1430
pounded dried prawn,279,287
pow ka leow,141,141
powder bath,15300,19300
powder form,184000,184000
powderful,22200,21800
powdery form,8180,7940
power,600000000,777000000
power to the kiduga,57,57
power to the kidugaan,72,72
poyo,291000,284000
pp,188000000,208000000
ppl,7150000,9110000
prata,7980000,6660000
prata dog,970,1180
prata flip,1300,1640
prc,11000000,11100000
pre-tertiary education,19900,19600
pregnant duck,4540,4530
prembry,51,50
prickly heat powder,27800,10300
primary school,36500000,27400000
pro,482000000,479000000
pro establishment,83100,79400
protect pride,467,797
provision shop,69100,59300
ps,118000000,130000000
pua chao,70,69
pua chew cheng,259000,248000
pua chu teng,49,16
puah liap,8,8
puas,2770000,2710000
puasa,1630000,1610000
public nuisance,70700,75500
public servant,323000,326000
public transport,25900000,24100000
pudding jagung,1710,1790
pudding marmer,249,247
pui,1680000,1620000
pui chao nuah,525,486
puki,2310000,2750000
pukimak,31900,30700
pukul,3450000,5200000
pulasan,30700,117000
pulau ntu,2380,2290
pulut,261000,279000
pulut inti,11800,12700
pulut panggang,17900,18800
pulut serunding,5480,6580
pulut tai tai,14000,6850
pulut tatal,5580,5590
pulut tekan,6700,6390
pumchek,297,297
pump full tank,2730,2340
pundai,502000,479000
pundeh,4170,4380
punnaakku,99,99
push pop,158000,154000
push up,5360000,7150000
puteri lilin,1800,1720
puteri salat,6210,6560
putus,1140000,1490000
pwd,1030000,1130000
pwn,524000,701000
pyaar,2120000,3190000
pyramid-shaped,347000,348000
q mo,31500,29000
qi guai,2050,2130
qia char bor,2,2
qia tar por,47500,48700
qin bo sai,1,1
qing ming festival,17500,19600
qq,20600000,21900000
qu si,12400,12400
qu yuan,102000,99400
quack medicine,18400,18400
queen control,23600,23600
rabak,65000,143000
rabak murtabak,94,97
rabak rabak,1010,989
rabaking,8,8
rabun ayam,1420,1430
rabz,30600,31500
rabz kebabz,215,215
rag-and-bone man,7280,7390
rainbow bread,18000,6430
raja blur,3,3
raja bomoh,23000,22700
raja bully,144,143
raja complain,4,4
raja kelong,94,94
ramadhan,2190000,2860000
rara,5050000,5770000
raya,34200000,31400000
ready already,21000,21000
real cheese pie,4,4
reconnaisance,114000,112000
red bean,461000,452000
red envelope,349000,117000
red face,631000,319000
red headscarf,5710,5970
red money packet,1620,785
red packet,222000,203000
red rough skin,1720,1720
red wrapper,4140,4070
regular soldier,24300,22400
rekey,165000,159000
relak,25100,23800
relak lah,3740,3720
relax one corner,4790,4720
release anger,153000,13500
rembat,56100,56300
remove testicles,852,854
rempah,703000,702000
rempah udang,21700,21900
ren,47300000,47900000
rendang ayam,220000,217000
rendang daging,73400,97300
rendang kambing,4890,4840
reservist,173000,172000
reunion dinner,141000,141000
rice bowl,725000,714000
rice cracker,139000,132000
rice flour,607000,597000
ring pop,137000,136000
rnostalgic,2,2
road hog,14500,14000
robert tao,759,753
rod mood,1700,1660
rogol,566000,534000
rojak,563000,474000
rojak bandung,10500,10500
rojak,563000,502000
rokok,820000,731000
role model,2340000,2650000
roll eye,13500,1970
rosak,313000,277000
rosy complexion,3820,3550
rotan,566000,745000
roti,8520000,8180000
roti bakar,483000,484000
roti john,74300,65400
roti kaya,38700,8130
roti prata,171000,191000
rotten jackfruit,150,156
round face,210000,211000
round stomach,9210,9210
roundish shape,4400,7100
rubber stamp,550000,544000
rugi,2300000,3080000
run lion,7450,7400
run road,443000,450000
rush home,136000,133000
sa la kau,337,278
saamy,194000,191000
saat,71300000,55300000
sabo,704000,1440000
sabo king,6320,6380
sabo queen,930,2080
sachok,14300,13300
sad case,56500,56300
sadded,14300,14700
saf 100,14700,14600
sah kah,4110,3970
sah kah tzua,3,3
saht,51800,50700
saht saht,1060,1060
saht saht boh chioh,9,9
sai kang,9930,9700
sai kang warrior,2230,2620
saithan ke bacha,3,81100
sakali,164000,162000
sakar,865000,886000
sakit,12700000,10700000
sakit hati,384000,376000
sakit jiwa,144000,145000
sakit kepala,473000,454000
sakit otak,8710,7730
sakti,1480000,1540000
salah,31400000,31600000
salah parking,1530,1550
saman,1330000,3030000
saman auntie,207,214
saman uncle,709,787
saman unker,1,1
sambal cuka,2770,2560
samdol,5740,5620
same age,690000,637000
same day celebration,6,8
same religion,234000,237000
same sex,4320000,3930000
sammy boy forum,9570,9510
sampai hati,51800,51800
sampai tua,48800,49000
sampat,141000,374000
sampuk,8550,8310
sampuk menyampuk,28,44
samseng,97400,34800
samseng kia,104,106
samster,141000,138000
samsui woman,6770,6640
san nin fai lok,546,587
san por,20300,20300
santan,563000,547000
sapau,4690,4960
sape cakap,3190,3370
sappe matter,4,4
sapport,85500,85900
sapu,445000,393000
sar suku,9,43
sarabat stall,3550,6480
sarakku,14900,14700
sarang,3450000,3110000
sarawak laksa,38500,42000
sarawak origin,339,321
sardine,511000,538000
sargen,498000,525000
sarong party girl,5400,14400
sarpork,3160,3260
sarsi,195000,460000
sarsi float,451,675
sarung,2910000,2800000
satay fish,5390,7300
satay sauce,157000,161000
satay stick,55700,6350
satki,40100,41300
sattaikaran,172,141
satu badan angin,10,10
sauce,80600000,75700000
save face,129000,111000
save money,15300000,15600000
save yourself,1140000,1080000
say again,348000,347000
say her,533000,523000
say him,126000,126000
say first,464000,474000
say me,395000,390000
say me say yourself,3,2
say people say yourself,300,5080
say so,1630000,1600000
say somemore,286,305
sayang,6860000,6700000
sayang seh,108,107
scare die me,858,910
scared what,15400,54300
scarycat,1280,1300
scissors paper stone,27800,10500
score point,103000,103000
scrap face,4670,4700
screw inside out,386,386
screw loose,71200,71300
seafarer,391000,382000
seafood cracker,9180,4540
seasoned seaweed,49600,50600
seaweed chicken,11700,11900
second class citizen,116000,117000
sedap,7200000,7950000
sedih,1120000,1200000
seductress,5680000,8960000
see first,465000,478000
see how,186000000,187000000
see me no up,88100,87600
see me small,52800,52800
see mirror,39700,39700
see see look look,12800,19200
see the leg ah,17900000,18400000
see what,104000000,104000000
segan,744000,719000
seh,6830000,8270000
seh bin,2640,3840
sei,43000000,31600000
sei bat po,8,8
sei chor,66,66
sei lou,457,458
sei yan tau,33,33
seik bai,9,9
sek,71600000,68100000
sekali,19800000,19300000
sekel,50600,307000
sekel kepala,102,173
seksa,382000,387000
selar,92600,87400
selasih,204000,197000
selekeh,15800,14400
selendang,178000,181000
selenge,244000,239000
self-pwn,2940,2560
selipar ah pek,8,9
selit,155000,156000
sell my backside,1550,1550
semangat,3700000,3700000
sembunyi muka,217,360
semek,21700,21700
semme,81200,81400
semperit,67500,70100
semula,2470000,2230000
senang,4250000,4080000
senang diri,11000,6740
sendiri buat sendiri tanggung,855,918
seng lee cho tua,4,4
sengau,9230,9090
senget,170000,173000
sengket,2450,3280
senju,112000,123000
sensitive issue,371000,367000
seow,811000,810000
seow eh,185,187
sepet,878000,851000
seram sejuk,17700,17400
serani,221000,201000
serunding ayam,12000,11700
serunding daging,11800,14900
serve you right,260000,312000
sesame ball,97100,85000
sesame seed,253000,358000
set,1090000000,1160000000
set result,62500,62500
set!,1070000000,1160000000
settle,52200000,35600000
settle outside,13600,13500
seven morning eight morning cry father cry mother,7,10
seventh month,67400,194000
sewel,293000,290000
sewer serpent,78,78
sewer service,119000,123000
shaddup,16700,16500
shag,9000000,18100000
shake head,121000,121000
shake leg,18900,8570
shake leg company,9,9
shame on you,445000,712000
shame shame,164000,172000
shame shame babu singh,2,2
shaved ice,241000,247000
shee shee,3060,10400
shi fu,195000,44800
shift bell curve,3,6
shiling,433000,425000
shingz,21700,21700
shiny wrapper,1930,1930
shiok,409000,393000
shiok sendiri,3160,3340
shit face,91800,89700
shit pants,20400,26800
shitapore,53,53
shitaporean,4,4
shitapura,440,440
shooting drill,28700,5270
show face,598000,612000
show half ball,486,473
show superiority,43600,43500
showflat,324000,343000
shredded bamboo shoot,2660,2690
shuai,387000,411000
shuai dai,2970,3690
shuai ge,9010,8860
si beh,9670,9540
si beh sian,225,227
si bak kau,210,211
si fat guai,25,25
si ginah,100,99
si mi,653000,633000
si mi tai ji,93,82
si noong kia,34,32
si suah lai,6,6
sia suay,6930,7340
siah,234000,230000
siak,447000,458000
sial,840000,378000
sial lah,8510,8470
sialan,172000,175000
siam,14100000,14400000
siam bu,22300,28700
siam one corner,187,186
siam tiu,329,328
sian,7690000,8210000
sian half,2740,2650
sian jit pua,277,269
sian tao,222,192
sian tao ong,50,44
siang kah pager,119,132
siang siang tak cakap,2,2
siang siang tak nak cakap,1,1
siansation,771,767
siao,386000,308000
siao cha bor,312,320
siao ding dong,534,543
siao kia,2420,2420
siao kow,25,25
siao lang,11500,11400
siao liao,12100,20800
siao on,4810,6860
siao peng,409,413
siao tar por,28500,27800
siapa cakap,25900,24600
sibeh,75700,35200
sibuk,1660000,1630000
sibuk sibuk,23900,23800
sicko,527000,564000
sign 1206,405,294
sign extra,4680,4980
sign on,5740000,3870000
sik fung,92,88
sik pau mei,1,1
sillpore,108,94
silly goat,3060,2880
silly toad,98,77
sillypore,11200,11200
sillyporean,66600,66600
sillypura,3,3
sim cheng bo ho,1,1
sim tia,3120,3140
sim tiah,316,359
sin ga po,4980,5000
sin jiao,143,147
sin ni kuai lok,42,41
singabloodypore,4770,4270
singapolang,10,216
singapower,623,596
singapura,25000000,24200000
singlish,344000,308000
sinkek,1090,1260
sinkie,129000,131000
sinseh,33100,37100
sio,1440000,1850000
siol,83300,408000
siong,2360000,2040000
siot,41900,159000
sirukki,12700,12600
sivan sothu,10,9
slap hand,14000,16800
sleng,355000,360000
slim mlim,100,100
slip inside,205000,204000
small kacang,134,135
smart-aleck,73900,76100
smelly face,24900,25000
smoke,74000000,57500000
smooth talker,101000,101000
snail-shape,43800,9160
snake king,158000,11400
snake queen,27300,5930
snap a shot,158000,161000
sneered at,154000,148000
sneeze non-stop,250,243
sniff glue,8540,2740
so,1190000000,1030000000
so how,10600000,13600000
so now how,319000,315000
soc,35200000,45100000
social climber,110000,109000
sock-shaped,2930,2910
sod,8940000,7800000
sod dot,920,981
sod sod,20900,20400
soft bun,42900,42900
soft jelly,138000,150000
soh chai,8100,2440
soh si,1420,768
sohai,109000,110000
solid,177000000,161000000
solo kia,6380,6100
sombong,611000,553000
something wrong up there,1590,1590
sondol,17700,17800
song song gao jurong,1510,1430
songket,251000,267000
songkok,101000,88500
soon li,19300,19700
