cues,result,compare
biadap,61700,62100
bian tai,2580,2650
bian tai shu shu,73,72
bianhae,21,9
biar betik,7500,6350
biar betul,97300,48200
big cannon fairy,476,449
big mulut,3580,3660
bijak,647000,1450000
bika ambon,66500,39200
bila boleh game,739000,727000
bila mahu game,4,3
bila nak game,1380,1260
bin ang ang,166,171
bin bin,71000,142000
bin chow chow,305,467
binget,4200,4330
bingka ambon,8460,4800
biol,23500000,21400000
bird bird,96100,98500
biscuit piring,626,626
bising,530000,513000
biskut batang buruk,1530,1530
biskut dahlia,6090,5940
biskut piring,71,72
biskut semperit,14700,16500
biskut telinga gajah,8,9
bismillah,1870000,2150000
bisu,447000,442000
bitter lesson,31100,38400
bk,43600000,85500000
black dog egg,6,9
black face,6830000,7210000
black spider,73400,75500
blame oneself,1600,1680
blanco,36800000,46500000
blanjah,1410,1240
blank face,242000,243000
blank file,25700,25700
blanket party,19900,20400
blarder,247,264
blindly copy,12200,12000
block catching,3560,3680
blood go up,3280,3210
blue black,7780000,9130000
blue tick,238000,78000
blur blur,70400,71600
blur blur katak,100,101
blur cam sotong,46300,35700
blur cock,6370,7350
blur king,1500,1480
blur macam sotong,32,32
blur queen,1670,985
blur sotong,9860,10700
blur toad,28,28
bmw,52600000,48900000
bo bah ti,655000,6
bo beh zao,1020,1030
bo bian,24800,24400
bo bin,2050,20800
bo chap,5660,5200
bo chee,367,373
bo cheng hu,3610,3700
bo chiak png,1,1
bo eng,1920,6000
bo gao koon,7,7
bo her hae mah ho,1470000,1610000
bo hew,353,352
bo hood,3110,2960
bo hua,4170,4500
bo huat tor,4,6
bo idea,9200,11000
bo jio,25500,24700
bo kah si,9,9
bo lan hood,7,7
bo lang ai,164,205
bo lang zai,67,67
bo lat,1260,27000
bo leong sim,20,13
bo liao,26000,26200
bo lin chu,1300,1300
bo lor yong,32,32
bo lui,4730,4980
bo lui lang,82,80
bo lum pa,5,5
bo min,14200,50800
bo nang ai,5,5
bo pakai,331,345
bo pan huat,6,6
bo peng yau si,62,62
bo pi,17800,62100
bo say,8450,8550
bo sim,9760,9700
bo song,69700,15600
bo sui,2280,2290
bo ta bo lan pa,47,48
bo tai bo ji,453,478
bo tai jee,7,8
bo tak chek,2950,2950
bo tau bo beh,263000,262000
bo tua bo suay,54,55
bo yau kin,6,6
bo yong,14800,15100
bo zheng hu,1040,1040
bo zor kang,3,3
bobo,5040000,5480000
bobo king,2120,2030
bobo shooter,3160,3250
bodek,311000,315000
bodek membodek,217,229
bodoh,448000,464000
bodoh like biscuit,70800,116000
bodoh macam biskut,6,6
bogay,7100,6970
bogoshipda,12400,12400
boh,945000,883000
boh tseng hu,7,6
boh wei gong,49,44
bohong sunat,1430,579
bok gwai,825,820
boleh,20700000,15500000
boleh belah,4900,5220
boleh berambus,1350,1320
boleh tahan,261000,252000
bombz,75900,74500
bomoh,102000,271000
boncet,5480,3170
bongkak,31800,29700
bongok,35400,35600
booby prize,18500,18400
boombastic,357000,369000
boomz,171000,174000
